2025-08-01 15:15:01.919 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-08-01 15:15:02.316 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-08-01 15:15:02.316 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-08-01 15:15:02.349 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-08-01 15:15:02.349 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-08-01 15:15:02.383 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-08-01 15:15:22.642 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-08-01 15:15:23.509 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:16:01.816 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:20:40.813 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-08-01 15:20:40.813 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-08-01 15:20:40.840 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-08-01 15:20:40.840 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-08-01 15:20:40.886 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:20:51.416 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:21:41.373 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:21:41.387 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [dddb71ecaf82456dae3c79478671dbea], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:21:41.620 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:21:41.621 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:21:41.653 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-08-01 15:21:41.653 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 9071096487907-UnityPersonal]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.animation], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.aseprite], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.psdimporter], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.sprite], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.spriteshape], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.tilemap], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.2d.tilemap.extras], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.multiplayer.center], Result: [granted: True, group: (null)]
2025-08-01 15:22:03.071 User Agent: [UnityEditor/6000.1.14f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [99dc37f0ee50463496480430c2a6684d], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
